Time (s),Pack Current (A),Mode,Cell 1 Voltage (V),Cell 1 SoC (%),Cell 1 Balancing Active,Cell 2 Voltage (V),Cell 2 SoC (%),Cell 2 Balancing Active,Cell 3 Voltage (V),Cell 3 SoC (%),Cell 3 Balancing Active,Cell 4 Voltage (V),Cell 4 SoC (%),Cell 4 Balancing Active
10,1.5,CC,3.546666666666667,15.166666666666675,0.0,3.5042006802721093,10.170068027210883,0.0,3.588643790849673,20.163398692810457,0.0,3.5196801075268818,12.168010752688172,0.0
11,1.5,CC,3.5468333333333333,15.183333333333342,0.0,3.50437074829932,10.187074829931971,0.0,3.5887581699346405,20.179738562091504,0.0,3.5198481182795702,12.184811827956988,0.0
12,1.5,CC,3.547,15.20000000000001,0.0,3.504540816326531,10.20408163265306,0.0,3.588872549019608,20.19607843137255,0.0,3.5200161290322582,12.201612903225806,0.0
13,1.5,CC,3.5471666666666666,15.21666666666668,0.0,3.504710884353742,10.221088435374147,0.0,3.588986928104575,20.212418300653596,0.0,3.5201841397849463,12.218413978494622,0.0
14,1.5,CC,3.5473333333333334,15.233333333333347,0.0,3.5048809523809528,10.238095238095235,0.0,3.5891013071895426,20.22875816993464,0.0,3.5203521505376347,12.23521505376344,0.0
15,1.5,CC,3.5475,15.250000000000014,0.0,3.5050510204081635,10.255102040816324,0.0,3.58921568627451,20.245098039215687,0.0,3.5205201612903227,12.252016129032258,0.0
16,1.5,CC,3.5476666666666667,15.266666666666682,0.0,3.5052210884353743,10.272108843537412,0.0,3.589330065359477,20.26143790849673,0.0,3.5206881720430108,12.268817204301074,0.0
17,1.5,CC,3.5478333333333336,15.28333333333335,0.0,3.5053911564625855,10.2891156462585,0.0,3.589444444444444,20.27777777777778,0.0,3.5208561827956992,12.285618279569892,0.0
18,1.5,CC,3.548,15.300000000000017,0.0,3.5055612244897962,10.306122448979588,0.0,3.5895588235294116,20.294117647058822,0.0,3.5210241935483872,12.302419354838708,0.0
19,1.5,CC,3.548166666666667,15.316666666666684,0.0,3.505731292517007,10.323129251700676,0.0,3.589673202614379,20.31045751633987,0.0,3.5211922043010753,12.319220430107526,0.0
20,1.5,CC,3.5483333333333333,15.333333333333352,0.0,3.505901360544218,10.340136054421764,0.0,3.5897875816993463,20.326797385620914,0.0,3.5213602150537637,12.336021505376344,0.0
21,1.5,CC,3.5485,15.35000000000002,0.0,3.506071428571429,10.357142857142852,0.0,3.5899019607843137,20.34313725490196,0.0,3.5215282258064518,12.35282258064516,0.0
22,1.5,CC,3.5486666666666666,15.366666666666687,0.0,3.5062414965986397,10.37414965986394,0.0,3.590016339869281,20.359477124183005,0.0,3.5216962365591398,12.369623655913978,0.0
23,1.5,CC,3.5488333333333335,15.383333333333354,0.0,3.5064115646258505,10.391156462585029,0.0,3.5901307189542484,20.375816993464053,0.0,3.5218642473118282,12.386424731182794,0.0
24,1.5,CC,3.549,15.400000000000022,0.0,3.5065816326530617,10.408163265306117,0.0,3.5902450980392158,20.392156862745097,0.0,3.5220322580645163,12.403225806451612,0.0
25,1.5,CC,3.549166666666667,15.41666666666669,0.0,3.5067517006802724,10.425170068027205,0.0,3.590359477124183,20.408496732026144,0.0,3.5222002688172043,12.42002688172043,0.0
26,1.5,CC,3.5493333333333337,15.433333333333357,0.0,3.506921768707483,10.442176870748293,0.0,3.59047385620915,20.424836601307188,0.0,3.5223682795698927,12.436827956989246,0.0
27,1.5,CC,3.5495,15.450000000000024,0.0,3.5070918367346944,10.459183673469381,0.0,3.5905882352941174,20.441176470588236,0.0,3.5225362903225808,12.453629032258064,0.0
28,1.5,CC,3.549666666666667,15.466666666666692,0.0,3.507261904761905,10.47619047619047,0.0,3.590702614379085,20.45751633986928,0.0,3.5227043010752688,12.47043010752688,0.0
29,1.5,CC,3.5498333333333334,15.48333333333336,0.0,3.507431972789116,10.493197278911557,0.0,3.590816993464052,20.473856209150327,0.0,3.5228723118279572,12.487231182795698,0.0
30,1.5,CC,3.5500000000000003,15.500000000000028,0.0,3.5076020408163266,10.510204081632645,0.0,3.5909313725490195,20.49019607843137,0.0,3.5230403225806453,12.504032258064516,0.0
31,1.5,CC,3.5501666666666667,15.516666666666696,0.0,3.507772108843538,10.527210884353734,0.0,3.591045751633987,20.50653594771242,0.0,3.5232083333333333,12.520833333333334,0.0
32,1.5,CC,3.5503333333333336,15.533333333333363,0.0,3.5079421768707486,10.544217687074822,0.0,3.5911601307189542,20.522875816993462,0.0,3.5233763440860217,12.537634408602152,0.0
33,1.5,CC,3.5505000000000004,15.550000000000031,0.0,3.5081122448979594,10.56122448979591,0.0,3.5912745098039216,20.53921568627451,0.0,3.5235443548387098,12.554435483870972,0.0
34,1.5,CC,3.550666666666667,15.566666666666698,0.0,3.5082823129251706,10.578231292516998,0.0,3.591388888888889,20.555555555555554,0.0,3.523712365591398,12.57123655913979,0.0
35,1.5,CC,3.5508333333333337,15.583333333333366,0.0,3.5084523809523813,10.595238095238086,0.0,3.5915032679738563,20.5718954248366,0.0,3.5238803763440862,12.588037634408607,0.0
36,1.5,CC,3.551,15.600000000000033,0.0,3.508622448979592,10.612244897959174,0.0,3.5916176470588232,20.588235294117645,0.0,3.5240483870967743,12.604838709677427,0.0
37,1.5,CC,3.551166666666667,15.616666666666701,0.0,3.508792517006803,10.629251700680262,0.0,3.5917320261437906,20.604575163398692,0.0,3.5242163978494627,12.621639784946245,0.0
38,1.5,CC,3.5513333333333335,15.633333333333368,0.0,3.508962585034014,10.646258503401352,0.0,3.591846405228758,20.620915032679736,0.0,3.5243844086021507,12.638440860215065,0.0
39,1.5,CC,3.5515000000000003,15.650000000000036,0.0,3.509132653061225,10.66326530612244,0.0,3.5919607843137253,20.637254901960784,0.0,3.5245524193548388,12.655241935483883,0.0
40,1.5,CC,3.5516666666666667,15.666666666666703,0.0,3.5093027210884356,10.680272108843528,0.0,3.5920751633986927,20.653594771241828,0.0,3.5247204301075272,12.6720430107527,0.0
41,1.5,CC,3.5518333333333336,15.68333333333337,0.0,3.5094727891156463,10.697278911564617,0.0,3.59218954248366,20.669934640522875,0.0,3.5248884408602152,12.68884408602152,0.0
42,1.5,CC,3.5520000000000005,15.700000000000038,0.0,3.5096428571428575,10.714285714285705,0.0,3.5923039215686274,20.68627450980392,0.0,3.5250564516129037,12.705645161290338,0.0
43,1.5,CC,3.552166666666667,15.716666666666706,0.0,3.5098129251700683,10.731292517006793,0.0,3.592418300653595,20.702614379084967,0.0,3.5252244623655917,12.722446236559156,0.0
44,1.5,CC,3.552333333333334,15.733333333333373,0.0,3.509982993197279,10.74829931972788,0.0,3.592532679738562,20.71895424836601,0.0,3.5253924731182797,12.739247311827976,0.0
45,1.5,CC,3.5525,15.750000000000043,0.0,3.5101530612244902,10.765306122448969,0.0,3.5926470588235295,20.735294117647058,0.0,3.525560483870968,12.756048387096794,0.0
46,1.5,CC,3.552666666666667,15.76666666666671,0.0,3.510323129251701,10.782312925170057,0.0,3.5927614379084964,20.751633986928102,0.0,3.5257284946236562,12.772849462365613,0.0
